,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,-0.017463785407304328
1,01,premotor,153,207,0.023234562978496437
2,01,premotor,153,45,0.014156498701987642
3,01,premotor,153,99,-0.009580412820378213
4,01,premotor,207,153,-0.00811257822651294
5,01,premotor,207,207,-0.020861229242938345
6,01,premotor,207,45,0.018253519481355902
7,01,premotor,207,99,0.02935527120866631
8,01,premotor,45,153,0.005798534574555208
9,01,premotor,45,207,0.009818682495939179
10,01,premotor,45,45,-0.009766969839337142
11,01,premotor,45,99,-0.00918374574663587
12,01,premotor,99,153,0.030452234796767695
13,01,premotor,99,207,0.002232290639972649
14,01,premotor,99,45,-0.03215857053562671
15,01,premotor,99,99,-0.02275658034885352
16,01,motor,153,153,-0.02358102646244473
17,01,motor,153,207,0.020820826046086472
18,01,motor,153,45,-0.0026616967810241046
19,01,motor,153,99,-0.007896153680407213
20,01,motor,207,153,0.04860722703235966
21,01,motor,207,207,0.035685096515532026
22,01,motor,207,45,-0.06836266598813795
23,01,motor,207,99,-0.003603837336207844
24,01,motor,45,153,0.03279535782609469
25,01,motor,45,207,-0.024411552565693877
26,01,motor,45,45,0.0277674951191763
27,01,motor,45,99,-0.0301068072465664
28,01,motor,99,153,-0.06465991604334448
29,01,motor,99,207,-0.030971293205945653
30,01,motor,99,45,0.06008831680530109
31,01,motor,99,99,0.03688579627452626
32,01,v1,153,153,0.05571557362525113
33,01,v1,153,207,-0.042871773024027074
34,01,v1,153,45,-0.02063246723882669
35,01,v1,153,99,0.032040612321786476
36,01,v1,207,153,-0.008690729411603931
37,01,v1,207,207,0.010932619899483914
38,01,v1,207,45,0.012708328579927378
39,01,v1,207,99,-0.042279461026488184
40,01,v1,45,153,-0.01215599555889093
41,01,v1,45,207,0.02101735425551814
42,01,v1,45,45,0.01947972662658502
43,01,v1,45,99,-0.01958286921761892
44,01,v1,99,153,-0.0387900542495006
45,01,v1,99,207,0.010905720043511105
46,01,v1,99,45,0.0025504839481609825
47,01,v1,99,99,0.022203459754961442
48,01,sup_parietal,153,153,-0.00472833332616706
49,01,sup_parietal,153,207,0.020668353699797602
50,01,sup_parietal,153,45,0.012348052432831763
51,01,sup_parietal,153,99,-0.000609418966065995
52,01,sup_parietal,207,153,0.02477097086250149
53,01,sup_parietal,207,207,-0.008904649616628419
54,01,sup_parietal,207,45,-0.0015005293092411557
55,01,sup_parietal,207,99,-0.06866434608786841
56,01,sup_parietal,45,153,-0.012738250887285207
57,01,sup_parietal,45,207,0.040271447713046
58,01,sup_parietal,45,45,-0.014371526209782276
59,01,sup_parietal,45,99,-0.043284237087555376
60,01,sup_parietal,99,153,0.006881240121847522
61,01,sup_parietal,99,207,-0.08984176497558394
62,01,sup_parietal,99,45,0.009852411042656948
63,01,sup_parietal,99,99,0.13401303841665113
64,01,inf_parietal,153,153,-0.0066983109217905006
65,01,inf_parietal,153,207,-0.005355958573579598
66,01,inf_parietal,153,45,0.013825906358071339
67,01,inf_parietal,153,99,0.02103165430175728
68,01,inf_parietal,207,153,0.005265309571062418
69,01,inf_parietal,207,207,0.020244179355499214
70,01,inf_parietal,207,45,-0.0202321597985602
71,01,inf_parietal,207,99,0.02052057954426839
72,01,inf_parietal,45,153,-0.05346665634406296
73,01,inf_parietal,45,207,0.030695537516942876
74,01,inf_parietal,45,45,-0.012568513292088454
75,01,inf_parietal,45,99,0.006177221704935543
76,01,inf_parietal,99,153,0.08970831793127328
77,01,inf_parietal,99,207,-0.05220826656967706
78,01,inf_parietal,99,45,-0.020924929457434432
79,01,inf_parietal,99,99,-0.040467528015569
80,01,v5,153,153,0.11170786575629896
81,01,v5,153,207,0.06561039188732998
82,01,v5,153,45,-0.17193126274476617
83,01,v5,153,99,0.14426258999204136
84,01,v5,207,153,-0.06885621567974716
85,01,v5,207,207,-0.03385573058463469
86,01,v5,207,45,0.05976202206747226
87,01,v5,207,99,-0.022475319446918204
88,01,v5,45,153,0.004235735702560596
89,01,v5,45,207,0.014859819507845498
90,01,v5,45,45,0.05780474662074958
91,01,v5,45,99,-0.06901794978985684
92,01,v5,99,153,-0.03565725619337296
93,01,v5,99,207,0.03230291131814386
94,01,v5,99,45,-0.07438776036678563
95,01,v5,99,99,-0.04235156949480655
96,02,premotor,153,153,0.004349819810856902
97,02,premotor,153,207,0.0489362879003039
98,02,premotor,153,45,-0.023302413766046456
99,02,premotor,153,99,-0.02252253120856354
100,02,premotor,207,153,-0.03942035575376139
101,02,premotor,207,207,-0.020852077753942114
102,02,premotor,207,45,-0.009462883600441879
103,02,premotor,207,99,0.059090219459104594
104,02,premotor,45,153,0.016358751050735372
105,02,premotor,45,207,-0.08749315602943017
106,02,premotor,45,45,0.07061825796720873
107,02,premotor,45,99,0.0229345148435778
108,02,premotor,99,153,0.023153358165184722
109,02,premotor,99,207,0.05390905622893933
110,02,premotor,99,45,-0.04264653592575762
111,02,premotor,99,99,-0.05027219277428403
112,02,motor,153,153,-0.011165870173152903
113,02,motor,153,207,0.07450654139152166
114,02,motor,153,45,-0.08714921075229362
115,02,motor,153,99,0.03211731237265649
116,02,motor,207,153,-0.0173914799943882
117,02,motor,207,207,-0.0473582286981829
118,02,motor,207,45,0.045604544414276804
119,02,motor,207,99,0.007052476038504719
120,02,motor,45,153,-0.018555161050631236
121,02,motor,45,207,-0.05077864065833039
122,02,motor,45,45,0.06031165100035523
123,02,motor,45,99,0.007806454231441391
124,02,motor,99,153,0.06142659606165394
125,02,motor,99,207,0.030191831594045516
126,02,motor,99,45,-0.001379232293722046
127,02,motor,99,99,-0.06744342943045219
128,02,v1,153,153,0.10351780796369375
129,02,v1,153,207,-0.01823038504881541
130,02,v1,153,45,-0.06814947446234183
131,02,v1,153,99,-0.03430398100024625
132,02,v1,207,153,-0.10742931373913853
133,02,v1,207,207,0.14017421527167284
134,02,v1,207,45,0.026870178477360656
135,02,v1,207,99,-0.05308000281247139
136,02,v1,45,153,0.008813581100275225
137,02,v1,45,207,-0.13480954391616695
138,02,v1,45,45,0.07347112371070215
139,02,v1,45,99,0.05023108044091329
140,02,v1,99,153,0.009190883678791792
141,02,v1,99,207,-0.01668954351869574
142,02,v1,99,45,-0.023232131221837125
143,02,v1,99,99,0.03731542438433794
144,02,sup_parietal,153,153,-0.00273857183266929
145,02,sup_parietal,153,207,0.03616709953622775
146,02,sup_parietal,153,45,-0.06782711269135847
147,02,sup_parietal,153,99,0.015115822918346102
148,02,sup_parietal,207,153,-0.03045577544042445
149,02,sup_parietal,207,207,0.019147385671415024
150,02,sup_parietal,207,45,0.0674620494300848
151,02,sup_parietal,207,99,-0.04033683246440891
152,02,sup_parietal,45,153,0.02669038551170378
153,02,sup_parietal,45,207,-0.06737147711988313
154,02,sup_parietal,45,45,0.004107405865959347
155,02,sup_parietal,45,99,0.06897547669008953
156,02,sup_parietal,99,153,-0.0010308195061349478
157,02,sup_parietal,99,207,-0.016438350428464497
158,02,sup_parietal,99,45,-0.0027888811693166
159,02,sup_parietal,99,99,-0.005984289082221483
160,02,inf_parietal,153,153,-0.010377894503425484
161,02,inf_parietal,153,207,0.017554651428948985
162,02,inf_parietal,153,45,0.03349659320480347
163,02,inf_parietal,153,99,-0.018030366058719285
164,02,inf_parietal,207,153,-0.07445483986348317
165,02,inf_parietal,207,207,0.0009168629781656033
166,02,inf_parietal,207,45,0.009969130651359018
167,02,inf_parietal,207,99,0.0843640084741853
168,02,inf_parietal,45,153,0.08145406131371391
169,02,inf_parietal,45,207,-0.044493472420913546
170,02,inf_parietal,45,45,0.036098700611940385
171,02,inf_parietal,45,99,-0.11568368429228829
172,02,inf_parietal,99,153,-0.01152410768852526
173,02,inf_parietal,99,207,0.018681135628672286
174,02,inf_parietal,99,45,-0.043159658518816174
175,02,inf_parietal,99,99,0.0351755156485734
176,02,v5,153,153,0.13593126353511195
177,02,v5,153,207,-0.05508415706650137
178,02,v5,153,45,-0.030137357502890004
179,02,v5,153,99,-0.05763727327655588
180,02,v5,207,153,-0.10546308449660252
181,02,v5,207,207,0.149550607993435
182,02,v5,207,45,-0.031898067757951204
183,02,v5,207,99,-0.028037639038216402
184,02,v5,45,153,-0.12412684308651588
185,02,v5,45,207,-0.12464778598773466
186,02,v5,45,45,0.13410524057537146
187,02,v5,45,99,0.0882583130184403
188,02,v5,99,153,0.15084817089743657
189,02,v5,99,207,-0.03698197386978341
190,02,v5,99,45,-0.07700665128097765
191,02,v5,99,99,-0.01666877876572021
192,03,premotor,153,153,-0.01298332437298562
193,03,premotor,153,207,0.03582941106902123
194,03,premotor,153,45,-0.030904991242993726
195,03,premotor,153,99,0.007232222033093455
196,03,premotor,207,153,-0.03808411436516867
197,03,premotor,207,207,0.0290258655397996
198,03,premotor,207,45,0.03406081819965012
199,03,premotor,207,99,-0.01945035966702568
200,03,premotor,45,153,0.006840833346740058
201,03,premotor,45,207,-0.053131387745916435
202,03,premotor,45,45,-0.0011155029333143208
203,03,premotor,45,99,0.055704901855731306
204,03,premotor,99,153,0.033206678656267336
205,03,premotor,99,207,-0.012810053456911098
206,03,premotor,99,45,-0.009175188572053822
207,03,premotor,99,99,-0.020824426050067193
208,03,motor,153,153,-0.09604913270485285
209,03,motor,153,207,0.08222716150637155
210,03,motor,153,45,0.03359451215325389
211,03,motor,153,99,-0.027813999188251535
212,03,motor,207,153,0.04446197264775639
213,03,motor,207,207,-0.06526112860941603
214,03,motor,207,45,-0.016409008287155833
215,03,motor,207,99,0.05492531671595262
216,03,motor,45,153,0.012908565360062848
217,03,motor,45,207,-0.022663653888414403
218,03,motor,45,45,-0.06249251255573014
219,03,motor,45,99,0.0605205883302168
220,03,motor,99,153,0.03987002027444297
221,03,motor,99,207,0.011618153689301015
222,03,motor,99,45,0.028064714881765995
223,03,motor,99,99,-0.0763180118242352
224,03,v1,153,153,0.11189405441598245
225,03,v1,153,207,0.008199337046545501
226,03,v1,153,45,-0.03148510651905188
227,03,v1,153,99,-0.09105792558827716
228,03,v1,207,153,-0.03764643314481125
229,03,v1,207,207,0.07812259266979314
230,03,v1,207,45,-0.022631938337749506
231,03,v1,207,99,-0.03417735980829892
232,03,v1,45,153,-0.05920253400063435
233,03,v1,45,207,-0.0901349501714312
234,03,v1,45,45,0.15206427111324516
235,03,v1,45,99,0.016473902684754408
