,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.039337901560995314
1,01,premotor,153,207,-0.009226401960809974
2,01,premotor,153,45,-0.026081368705516444
3,01,premotor,153,99,-0.00038545964410800077
4,01,premotor,207,153,0.01722602641484688
5,01,premotor,207,207,-0.019461163747555965
6,01,premotor,207,45,0.023941942053458717
7,01,premotor,207,99,-0.020662765600341627
8,01,premotor,45,153,-0.04503007323271355
9,01,premotor,45,207,0.06973660402433692
10,01,premotor,45,45,-0.012277344439474001
11,01,premotor,45,99,-0.023639631470151357
12,01,premotor,99,153,-0.009002496866159964
13,01,premotor,99,207,-0.04768902387359657
14,01,premotor,99,45,0.014690952395386477
15,01,premotor,99,99,0.046582953746877695
16,01,motor,153,153,0.0171723624321422
17,01,motor,153,207,-0.08973975954747798
18,01,motor,153,45,0.03559759362615532
19,01,motor,153,99,0.039685752142943335
20,01,motor,207,153,-0.010543534631460787
21,01,motor,207,207,0.07701936905904777
22,01,motor,207,45,-0.04698191196802973
23,01,motor,207,99,-0.03568482639319296
24,01,motor,45,153,0.06295886251284658
25,01,motor,45,207,-0.045247772962305255
26,01,motor,45,45,0.039478905974159095
27,01,motor,45,99,-0.042678960892986034
28,01,motor,99,153,-0.0887690964886361
29,01,motor,99,207,0.07017820941196949
30,01,motor,99,45,-0.0021838545467763038
31,01,motor,99,99,0.03245618754886098
32,01,v1,153,153,0.044974595915676305
33,01,v1,153,207,-0.027254309055233406
34,01,v1,153,45,-0.014090650357810038
35,01,v1,153,99,0.0055309893459886215
36,01,v1,207,153,0.004383626395632787
37,01,v1,207,207,-0.019340986555202652
38,01,v1,207,45,0.0016677870760084309
39,01,v1,207,99,0.007648600644722857
40,01,v1,45,153,0.007079565131964836
41,01,v1,45,207,0.012584476096361548
42,01,v1,45,45,-0.015553041018210109
43,01,v1,45,99,-0.006661331731946425
44,01,v1,99,153,-0.07068404656627612
45,01,v1,99,207,0.036143380153798914
46,01,v1,99,45,0.012877429010793163
47,01,v1,99,99,0.0128481564920785
48,01,sup_parietal,153,153,-0.12474482584607141
49,01,sup_parietal,153,207,0.004093073341728043
50,01,sup_parietal,153,45,0.08676801608607623
51,01,sup_parietal,153,99,0.05238106394387425
52,01,sup_parietal,207,153,0.0693579320892111
53,01,sup_parietal,207,207,-0.02551125526900407
54,01,sup_parietal,207,45,-0.04441344910734693
55,01,sup_parietal,207,99,0.03179674292955656
56,01,sup_parietal,45,153,0.07181700163158575
57,01,sup_parietal,45,207,0.0630371268229016
58,01,sup_parietal,45,45,-0.0643145144031477
59,01,sup_parietal,45,99,-0.07017909064926975
60,01,sup_parietal,99,153,-0.00845715201294127
61,01,sup_parietal,99,207,-0.02578993711881665
62,01,sup_parietal,99,45,0.006265901423752791
63,01,sup_parietal,99,99,-0.021246678165732204
64,01,inf_parietal,153,153,-0.06298132640514606
65,01,inf_parietal,153,207,0.0407727994360009
66,01,inf_parietal,153,45,-0.0007679841358443178
67,01,inf_parietal,153,99,0.002576278742049399
68,01,inf_parietal,207,153,0.0006666812412317643
69,01,inf_parietal,207,207,-0.005728109093382484
70,01,inf_parietal,207,45,-0.013233939813326497
71,01,inf_parietal,207,99,0.0248862407600477
72,01,inf_parietal,45,153,-0.009740158947988681
73,01,inf_parietal,45,207,-0.022778215738141344
74,01,inf_parietal,45,45,0.05031912983022489
75,01,inf_parietal,45,99,-0.011375354128329287
76,01,inf_parietal,99,153,0.05323670188171882
77,01,inf_parietal,99,207,-0.042442782790681505
78,01,inf_parietal,99,45,-0.02134775569296829
79,01,inf_parietal,99,99,0.00944895024203285
80,01,v5,153,153,-0.041619376924951504
81,01,v5,153,207,0.06562882450886134
82,01,v5,153,45,0.018441276517564713
83,01,v5,153,99,-0.009304282207929261
84,01,v5,207,153,0.04758675660789879
85,01,v5,207,207,-0.0743363746926308
86,01,v5,207,45,0.027807742380732345
87,01,v5,207,99,-0.03587156527101762
88,01,v5,45,153,0.049246808000462224
89,01,v5,45,207,0.0005370868109083604
90,01,v5,45,45,-0.030348752127427117
91,01,v5,45,99,0.0002717382109454561
92,01,v5,99,153,-0.1721489139081129
93,01,v5,99,207,0.020386548465431663
94,01,v5,99,45,0.09772618479752115
95,01,v5,99,99,0.02265216183219865
96,02,premotor,153,153,-0.04469117023352014
97,02,premotor,153,207,0.04303171428178476
98,02,premotor,153,45,0.014556396190049451
99,02,premotor,153,99,-0.0005916105331922918
100,02,premotor,207,153,-0.019868309375879394
101,02,premotor,207,207,0.007337456003191502
102,02,premotor,207,45,0.018503906682411586
103,02,premotor,207,99,0.014666268212038197
104,02,premotor,45,153,0.0546967017335394
105,02,premotor,45,207,-0.0651944020839064
106,02,premotor,45,45,-0.014344215585501245
107,02,premotor,45,99,0.00967507610694664
108,02,premotor,99,153,0.016517532265832482
109,02,premotor,99,207,0.00942472715775497
110,02,premotor,99,45,-0.017802506494202116
111,02,premotor,99,99,-0.027824507286405897
112,02,motor,153,153,-0.03983386581355543
113,02,motor,153,207,0.04590800794809126
114,02,motor,153,45,-0.0358831824352219
115,02,motor,153,99,0.008451476770375858
116,02,motor,207,153,-0.03419565323977236
117,02,motor,207,207,-0.025700379532307673
118,02,motor,207,45,0.06140567848667947
119,02,motor,207,99,0.005009453354204097
120,02,motor,45,153,0.00955804153780723
121,02,motor,45,207,-0.030130867977611008
122,02,motor,45,45,-0.017081678082209645
123,02,motor,45,99,0.051128551263057244
124,02,motor,99,153,0.0517385856185528
125,02,motor,99,207,0.01748700888989565
126,02,motor,99,45,-0.000981273363363483
127,02,motor,99,99,-0.061474888184023524
128,02,v1,153,153,0.32067048801365416
129,02,v1,153,207,-0.14160344320017504
130,02,v1,153,45,-0.017524625856469262
131,02,v1,153,99,-0.1792213915201658
132,02,v1,207,153,-0.204996274221263
133,02,v1,207,207,0.3971478039870907
