,Participants,Masks,Target Location Straight,Target Location Rotate,Correlation
0,01,premotor,153,153,0.008730595727570671
1,01,premotor,153,207,-0.009447473344932632
2,01,premotor,153,45,0.003440546202686685
3,01,premotor,153,99,-0.010937338737817846
4,01,premotor,207,153,0.004171274331302557
5,01,premotor,207,207,0.016062985797940747
6,01,premotor,207,45,-0.015513603406338419
7,01,premotor,207,99,-0.015779513304379468
8,01,premotor,45,153,-0.006019207885264666
9,01,premotor,45,207,-0.012727295745259989
10,01,premotor,45,45,0.002425457747069603
11,01,premotor,45,99,0.02105868376548209
12,01,premotor,99,153,-0.01527163836712231
13,01,premotor,99,207,-0.003013527002196986
14,01,premotor,99,45,0.016678774484104576
15,01,premotor,99,99,0.013243509896011661
16,01,motor,153,153,0.03072242180112831
17,01,motor,153,207,0.004443664250586978
18,01,motor,153,45,-0.04020246237415187
19,01,motor,153,99,0.00774593022542837
20,01,motor,207,153,-0.03916365099602151
21,01,motor,207,207,-0.03653754901974387
22,01,motor,207,45,0.062275589443847715
23,01,motor,207,99,0.0075687458122926845
24,01,motor,45,153,-0.012898644785294072
25,01,motor,45,207,0.00956359468693219
26,01,motor,45,45,-0.014339700312254388
27,01,motor,45,99,0.019857814106414934
28,01,motor,99,153,0.04345247708994627
29,01,motor,99,207,0.021136821399479346
30,01,motor,99,45,-0.03639825124573445
31,01,motor,99,99,-0.03503414760640098
32,01,v1,153,153,-0.046314933721228684
33,01,v1,153,207,0.018547215969147088
34,01,v1,153,45,0.04337758772417842
35,01,v1,153,99,-0.02457077036917905
36,01,v1,207,153,0.030027547694181755
37,01,v1,207,207,-0.01687942217609873
38,01,v1,207,45,-0.021164307861572557
39,01,v1,207,99,0.031287311719920385
40,01,v1,45,153,-0.00045555098288671894
41,01,v1,45,207,-0.0003048855442567451
42,01,v1,45,45,-0.04000495128098537
43,01,v1,45,99,0.03700961041842235
44,01,v1,99,153,0.030640787249482205
45,01,v1,99,207,-0.0020834876380121
46,01,v1,99,45,0.0012117353515486116
47,01,v1,99,99,-0.037032409042537115
48,01,sup_parietal,153,153,0.0315501689323997
49,01,sup_parietal,153,207,-0.055075065686606695
50,01,sup_parietal,153,45,-0.0011032045973074708
51,01,sup_parietal,153,99,0.012437648193350262
52,01,sup_parietal,207,153,-0.030497921531474827
53,01,sup_parietal,207,207,-0.015076655873409407
54,01,sup_parietal,207,45,-0.0426983616599729
55,01,sup_parietal,207,99,0.08359579284671578
56,01,sup_parietal,45,153,-0.007034238198086483
57,01,sup_parietal,45,207,-0.05247916916965149
58,01,sup_parietal,45,45,0.043202655387581876
59,01,sup_parietal,45,99,0.037750646992955564
60,01,sup_parietal,99,153,-0.010020084022725232
61,01,sup_parietal,99,207,0.1577652957000435
62,01,sup_parietal,99,45,-0.013053694761023821
63,01,sup_parietal,99,99,-0.15174580290446077
64,01,inf_parietal,153,153,0.02501228386896847
65,01,inf_parietal,153,207,-0.015541417904300267
66,01,inf_parietal,153,45,-0.002974330511587751
67,01,inf_parietal,153,99,-0.00925846747434281
68,01,inf_parietal,207,153,-0.0055082286994516325
69,01,inf_parietal,207,207,-0.008392674394427275
70,01,inf_parietal,207,45,0.013381119879275403
71,01,inf_parietal,207,99,0.0037980089828703037
72,01,inf_parietal,45,153,0.022830464208949935
73,01,inf_parietal,45,207,-0.021300889144784955
74,01,inf_parietal,45,45,0.014114144380095003
75,01,inf_parietal,45,99,-0.019826417033723346
76,01,inf_parietal,99,153,-0.08249432759296703
77,01,inf_parietal,99,207,0.06803859624410169
78,01,inf_parietal,99,45,0.0035967484552605344
79,01,inf_parietal,99,99,0.03150209157047834
80,01,v5,153,153,-0.09463381837093549
81,01,v5,153,207,-0.016420970613897544
82,01,v5,153,45,0.11209396560862324
83,01,v5,153,99,-0.09157964068869255
84,01,v5,207,153,0.040710591069293686
85,01,v5,207,207,0.04713055006377051
86,01,v5,207,45,-0.09181835191275292
87,01,v5,207,99,0.09468786267537252
88,01,v5,45,153,-0.03440793143874328
89,01,v5,45,207,0.05024263875383325
90,01,v5,45,45,-0.018913639058085626
91,01,v5,45,99,-0.013168865469795607
92,01,v5,99,153,0.02601823363478959
93,01,v5,99,207,-0.14961356925472563
94,01,v5,99,45,0.05626370211796733
95,01,v5,99,99,0.07464763409422973
96,02,premotor,153,153,0.005632801493355365
97,02,premotor,153,207,-0.05351685494799234
98,02,premotor,153,45,0.023570006173491167
99,02,premotor,153,99,0.020150141098259466
100,02,premotor,207,153,0.04341938480440373
101,02,premotor,207,207,0.03130508459392604
102,02,premotor,207,45,-0.008958473697229104
103,02,premotor,207,99,-0.06296508221713316
104,02,premotor,45,153,-0.019505719006750088
105,02,premotor,45,207,0.08648600961219988
106,02,premotor,45,45,-0.06011774837642918
107,02,premotor,45,99,-0.01125940408631829
108,02,premotor,99,153,-0.03453020048894626
109,02,premotor,99,207,-0.05525467611116694
110,02,premotor,99,45,0.048345499251006514
111,02,premotor,99,99,0.044071449499482065
112,02,motor,153,153,0.04084673652176586
113,02,motor,153,207,-0.07256079206655505
114,02,motor,153,45,0.04068818502646454
115,02,motor,153,99,-0.02772909637692309
116,02,motor,207,153,0.004470818586881107
117,02,motor,207,207,0.04174867312062462
118,02,motor,207,45,-0.030301970349928285
119,02,motor,207,99,-0.006482788167902227
120,02,motor,45,153,0.024902898502070024
121,02,motor,45,207,0.07568642505516725
122,02,motor,45,45,-0.07822395931704221
123,02,motor,45,99,-0.024978851247572993
124,02,motor,99,153,-0.07313072651950675
125,02,motor,99,207,-0.05399228089208785
126,02,motor,99,45,0.040769368559257224
127,02,motor,99,99,0.08322514887804361
128,02,v1,153,153,-0.08296246848130984
129,02,v1,153,207,-0.01560617401054101
130,02,v1,153,45,0.07247997171339646
131,02,v1,153,99,0.01899043078712439
132,02,v1,207,153,0.07736788484472709
133,02,v1,207,207,-0.05407378732065446
134,02,v1,207,45,-0.04304286964794701
135,02,v1,207,99,0.0372787735851964
136,02,v1,45,153,0.034261122697205326
137,02,v1,45,207,0.07810358617699106
138,02,v1,45,45,-0.03476391543016917
139,02,v1,45,99,-0.077634791204681
140,02,v1,99,153,-0.03612721009526208
141,02,v1,99,207,0.008240125400106258
142,02,v1,99,45,-0.0034944056265056103
143,02,v1,99,99,0.026069566105197263
144,02,sup_parietal,153,153,-0.002561078307989151
145,02,sup_parietal,153,207,-0.05443457686288959
146,02,sup_parietal,153,45,0.0745209033898841
147,02,sup_parietal,153,99,0.006158498333643524
148,02,sup_parietal,207,153,0.02267015396459921
149,02,sup_parietal,207,207,0.013951355943678922
150,02,sup_parietal,207,45,-0.09420870721678967
151,02,sup_parietal,207,99,0.050626050575681036
152,02,sup_parietal,45,153,-0.004724150524481059
153,02,sup_parietal,45,207,0.03846959355363394
154,02,sup_parietal,45,45,1.5565072480338074e-05
155,02,sup_parietal,45,99,-0.04193347750780512
156,02,sup_parietal,99,153,-0.00876296985264208
157,02,sup_parietal,99,207,0.018552591674869223
158,02,sup_parietal,99,45,0.0009115126654525296
159,02,sup_parietal,99,99,-0.028896109035755804
160,02,inf_parietal,153,153,-0.017899695560797256
161,02,inf_parietal,153,207,-0.008464964737475579
162,02,inf_parietal,153,45,-0.011235531677497107
163,02,inf_parietal,153,99,0.019163756876579258
164,02,inf_parietal,207,153,0.09315291426827123
165,02,inf_parietal,207,207,0.016878176372200092
166,02,inf_parietal,207,45,-0.013236565488943888
167,02,inf_parietal,207,99,-0.09594257657265509
168,02,inf_parietal,45,153,-0.03216370866006982
169,02,inf_parietal,45,207,0.03676912324666845
170,02,inf_parietal,45,45,-0.0596032487196943
171,02,inf_parietal,45,99,0.06875113648435355
172,02,inf_parietal,99,153,-0.029354829589652305
173,02,inf_parietal,99,207,-0.028829141251488978
174,02,inf_parietal,99,45,0.06356302834390799
175,02,inf_parietal,99,99,-0.01048994804589789
176,02,v5,153,153,-0.04785971706423087
177,02,v5,153,207,-0.055053448999501785
178,02,v5,153,45,-0.02742631976402215
179,02,v5,153,99,0.12298026764102532
180,02,v5,207,153,0.08656641510170435
181,02,v5,207,207,-0.08826769504171156
182,02,v5,207,45,-0.03232277905896263
183,02,v5,207,99,-0.016966034622123108
184,02,v5,45,153,0.09394603826946393
185,02,v5,45,207,0.1551309489060091
186,02,v5,45,45,-0.04834613837305011
187,02,v5,45,99,-0.1298620384185047
188,02,v5,99,153,-0.16414907897507455
189,02,v5,99,207,0.0692552788608252
190,02,v5,99,45,0.12955103105470817
191,02,v5,99,99,-0.0367003909157401
192,03,premotor,153,153,0.0004885456777159614
193,03,premotor,153,207,-0.025843030951409107
194,03,premotor,153,45,0.028432817994821787
195,03,premotor,153,99,0.0017928347754246308
196,03,premotor,207,153,0.023869505821479196
197,03,premotor,207,207,-0.02845105290213367
198,03,premotor,207,45,-0.01817672057501311
199,03,premotor,207,99,0.021801718366848785
200,03,premotor,45,153,0.017024121269075758
201,03,premotor,45,207,0.041536033857638995
202,03,premotor,45,45,-0.01345530838630092
203,03,premotor,45,99,-0.061944892337421543
204,03,premotor,99,153,-0.028823816692461434
205,03,premotor,99,207,0.01954667237728229
206,03,premotor,99,45,0.004028790899048985
207,03,premotor,99,99,0.013320642305847919
208,03,motor,153,153,0.08473453265928034
209,03,motor,153,207,-0.06872856859132903
210,03,motor,153,45,-0.02419609979427687
211,03,motor,153,99,0.015920653038793094
212,03,motor,207,153,-0.02024685055243207
213,03,motor,207,207,0.026751119205276442
214,03,motor,207,45,0.02200683359741211
215,03,motor,207,99,-0.0522776294398571
216,03,motor,45,153,-0.02588481451543236
217,03,motor,45,207,0.056938081693658237
218,03,motor,45,45,0.016145266916001797
219,03,motor,45,99,-0.060045519918125526
220,03,motor,99,153,-0.02893367690453559
221,03,motor,99,207,-0.019257027050554744
222,03,motor,99,45,-0.011943902383160065
223,03,motor,99,99,0.08307221889771478
224,03,v1,153,153,-0.0897076637427339
225,03,v1,153,207,0.04128734725032042
226,03,v1,153,45,0.02464527419053555
227,03,v1,153,99,0.042834049547644616
228,03,v1,207,153,0.002726454634853928
229,03,v1,207,207,-0.03524878885237438
230,03,v1,207,45,-0.009546884466123659
231,03,v1,207,99,0.042798344099812646
232,03,v1,45,153,0.06420477772199237
233,03,v1,45,207,0.021404787522255057
234,03,v1,45,45,-0.08269696091714449
235,03,v1,45,99,-0.01678691994197517
236,03,v1,99,153,0.014763917865314405
237,03,v1,99,207,-0.021498106450790522
238,03,v1,99,45,0.07259475654268382
239,03,v1,99,99,-0.07063604889370043
240,03,sup_parietal,153,153,-0.08205984064777119
241,03,sup_parietal,153,207,0.012066594266143205
242,03,sup_parietal,153,45,0.14924330654382606
243,03,sup_parietal,153,99,-0.11043513434198199
244,03,sup_parietal,207,153,-0.06972499600252306
245,03,sup_parietal,207,207,0.02919603506129919
246,03,sup_parietal,207,45,0.020794794264806613
247,03,sup_parietal,207,99,0.03181487446091869
248,03,sup_parietal,45,153,0.09480575676347458
249,03,sup_parietal,45,207,-0.026170172099115017
250,03,sup_parietal,45,45,-0.0963817983488228
251,03,sup_parietal,45,99,0.022909163569537296
252,03,sup_parietal,99,153,0.05830202697949921
253,03,sup_parietal,99,207,0.019275966158255078
254,03,sup_parietal,99,45,-0.07459695622775152
255,03,sup_parietal,99,99,0.012873530356715044
256,03,inf_parietal,153,153,0.05507429954177263
257,03,inf_parietal,153,207,-0.01784595357866995
258,03,inf_parietal,153,45,-0.02888437707773156
259,03,inf_parietal,153,99,0.014920948802385488
260,03,inf_parietal,207,153,-0.030076391366191335
261,03,inf_parietal,207,207,0.06167765520842751
262,03,inf_parietal,207,45,0.01165487326505508
263,03,inf_parietal,207,99,-0.05140021319273191
264,03,inf_parietal,45,153,-0.06610633841383526
265,03,inf_parietal,45,207,0.034069984297934015
266,03,inf_parietal,45,45,0.009566504338884231
267,03,inf_parietal,45,99,-0.010118780554779981
268,03,inf_parietal,99,153,0.05125856400190432
269,03,inf_parietal,99,207,-0.04731243414138482
270,03,inf_parietal,99,45,-0.019601399504593876
271,03,inf_parietal,99,99,0.017259707037839415
272,03,v5,153,153,-0.10796399676217613
273,03,v5,153,207,-0.021043904050696408
274,03,v5,153,45,0.12356419914447084
